adventure,episode,verified,user,character,skill,difficulty,dice,dice_results,roll_results,check_type,fp_spent,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Medicine,Hard,gggggppp,suc;adv;nil;sucadv;suc;faifai;thr;thrfai,nil,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Charm,Opposed,yyygbbrrrrp,sucadv;tri;sucadv;advadv;nil;nil;thrfai;thrfai;thrfai;fai;thrfai,faifaitri,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Charm,Opposed,yggbbrrrrp,adv;sucadv;suc;advadv;sucadv;thrthr;thrfai;fai;des;thr,advdes,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Charm,Opposed,yyggppp,suc;sucadv;adv;sucadv;thr;thr;thrthr,sucsucsucthr,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cholganna Survivor,Medicine,Average,yyggpp,advadv;suc;nil;sucsuc;thr;faifai,sucadv,Medicine,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Leadership,Hard,yggbppp,advadv;suc;suc;suc;thr;faifai;faifai,faiadv,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Opposed,yyggbrrpv,suc;advadv;adv;nil;advadv;fai;faifai;fai;adv,faifaifaiadvadvadvadvadvadv,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Leadership,Opposed,yggbbbrp,sucadv;suc;suc;adv;nil;advadv;des;thrfai,sucadvadvadvdes,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Opposed,yyygbbppppp,sucsuc;nil;advadv;sucsuc;nil;sucadv;thrthr;faifai;thr;nil;thr,sucsucsucthr,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cholganna Survivor,Cool,Simple,gg,adv;nil,adv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Cool,Simple,ygg,nil;sucsuc;suc,sucsucsuc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbpp,sucadv;sucadv;sucsuc;adv;suc;thrfai;thr,sucsucsucsucadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cholganna Survivor,Melee,Average,yyggpp,adv;adv;sucsuc;nil;nil;thr,sucsucadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Melee,Average,yyggbbppk,tri;adv;sucadv;adv;suc;advadv;fai;thr;fai,sucadvadvadvadvtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Hard,yppp,advadv;thrthr;fai;thr,faithr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Hard,ygppp,suc;advadv;nil;faifai;nil,faiadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Imperial Probe Droid,Vigilance,Simple,g,adv,adv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Imperial Probe Droid,Vigilance,Simple,g,suc,suc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Imperial Probe Droid,Vigilance,Simple,g,sucsuc,sucsuc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Vigilance,Simple,yg,sucadv;suc,sucsucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Opposed,yyggbbppppp,suc;sucadv;nil;sucsuc;nil;nil;faifai;thrfai;thrthr;thr;faifai,faithrthrthr,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Vigilance,Simple,gg,adv;suc,sucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Vigilance,Simple,gg,sucadv;sucsuc,sucsucsucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Vigilance,Simple,gg,sucadv;nil,sucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Vigilance,Simple,gg,suc;suc,sucsuc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Vigilance,Simple,gg,sucadv;sucsuc,sucsucsucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,B1 Battle Droid,Vigilance,Simple,g,advadv,advadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,B1 Battle Droid,Vigilance,Simple,g,adv,adv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Coercion,Opposed,yybbrrrpk,suc;sucadv;nil;advadv;thrthr;des;faifai;faifai;nil,faifaifaiadvdes,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Vigilance,Simple,yyyg,advadv;sucadv;sucadv;suc,sucsucsucadvadvadvadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Vigilance,Simple,yg,tri;suc,sucsuctri,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Vigilance,Simple,g,sucadv,sucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Melee,Average,yygbbppk,adv;advadv;sucsuc;adv;adv;nil;nil;fai,sucadvadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Brawl,Average,ggggbbrr,adv;advadv;suc;adv;advadv;suc;des;des,advadvadvadvadvadvdesdes,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggbrrv,nil;tri;nil;suc;adv;thr;thrfai;adv,suctri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Average,gggppk,adv;suc;suc;nil;faifai;thr,nil,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Leadership,Hard,ygggppp,tri;adv;advadv;advadv;nil;thrthr;thr,sucadvadvtri,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Average,yyygbppk,suc;nil;tri;sucsuc;suc;thr;thr;thr,sucsucsucsucsucthrthrthrtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Average,yyygbppk,advadv;suc;suc;nil;advadv;nil;thrthr;fai,sucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Average,yyygbppk,sucadv;adv;sucsuc;nil;sucadv;faifai;fai;nil,sucadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cratala,Vigilance,Simple,yyg,tri;sucadv;sucsuc,sucsucsucsucadvtri,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Discipline,Daunting,ygggrppp,tri;advadv;sucadv;sucsuc;thr;faifai;nil;thr,sucsucadvtri,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Leadership,Opposed,ygggbbrppp,tri;adv;adv;sucadv;sucadv;sucadv;thr;thrthr;fai;thrfai,sucsucadvtri,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Hard,yyggbpppkk,suc;advadv;sucsuc;suc;suc;thrthr;thrfai;thrthr;thr;fai,sucsucsucthrthrthrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Cool,Simple,yyyyg,adv;sucsuc;sucsuc;advadv;adv,sucsucsucsucadvadvadvadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Heavy),Hard,yyygpppkk,nil;sucsuc;suc;nil;fai;fai;thrfai;thr;fai,faithrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Easy,yyypk,advadv;sucadv;suc;fai;fai,advadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Easy,yyygpk,sucadv;nil;sucsuc;adv;nil;nil,sucsucsucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Easy,yyygbp,sucadv;advadv;sucadv;sucsuc;sucadv;thr,sucsucsucsucsucadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Ranged (Light),Easy,yyybp,advadv;advadv;sucsuc;adv;nil,sucsucadvadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Ranged (Heavy),Average,yyygbbbpp,sucadv;sucadv;suc;sucsuc;nil;sucadv;sucadv;thr;fai,sucsucsucsucsucsucadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Ranged (Heavy),Average,yyygbbbbppk,advadv;sucadv;suc;sucadv;advadv;nil;suc;sucadv;thr;thr;nil,sucsucsucsucsucadvadvadvadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Ranged (Heavy),Average,yyygbbbbppk,sucsuc;suc;tri;advadv;nil;adv;advadv;nil;thrfai;fai;thr,sucsucadvadvadvtri,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Ranged (Light),Average,gggbbbppk,suc;sucsuc;sucsuc;sucadv;suc;nil;thr;nil;nil,sucsucsucsucsucsucsuc,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Mechanics,Average,yygggrp,advadv;suc;adv;sucadv;advadv;thr;thr,sucsucadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Leadership,Hard,ygggppp,sucadv;adv;suc;advadv;thr;thrthr;thr,sucsuc,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Knowledge (Warfare),Average,ggggppk,sucadv;nil;adv;adv;fai;thrfai;thr,faiadv,Knowledge,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Knowledge (Warfare),Average,ggbppv,suc;adv;suc;thr;thr;adv,sucsuc,Knowledge,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Discipline,Hard,ggbbrpp,suc;sucadv;adv;adv;thr;thrfai;thr,suc,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,advadv;nil;sucsuc;advadv;advadv;sucadv;fai;thr;faifai,advadvadvadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,sucsuc;tri;sucsuc;adv;advadv;suc;thrthr;thrthr;thr,sucsucsucsucsucsucthrthrtri,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,sucadv;sucadv;suc;sucadv;nil;advadv;thrthr;faifai;thr,sucsucadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,sucsuc;advadv;suc;nil;suc;suc;thr;thr;fai,sucsucsucsuc,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,tri;sucadv;nil;advadv;advadv;advadv;fai;thr;thr,sucadvadvadvadvadvtri,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yygbbbrpp,advadv;sucadv;sucsuc;suc;nil;nil;des;thr;nil,sucsucsucadvadvdes,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Cholganna Survivor,Discipline,Hard,yyybbbrpp,suc;sucsuc;advadv;nil;adv;sucadv;faifai;thr;nil,sucsucadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Discipline,Hard,ybbbrpp,tri;advadv;suc;suc;thrthr;thr;thr,sucsucsucthrthrtri,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Discipline,Hard,gbbbrpp,advadv;nil;adv;suc;thr;faifai;thr,faiadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Discipline,Hard,ggbbbrpp,sucsuc;adv;nil;sucadv;nil;nil;thrfai;thrfai,suc,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Discipline,Hard,ggbbbrpp,suc;sucsuc;suc;sucadv;nil;thrthr;nil;faifai,sucsucsucthr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,B1 Battle Droid,Discipline,Hard,ggbbbrpp,suc;adv;sucadv;sucadv;sucadv;thrthr;thrthr;thr,sucsucsucsucthr,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Discipline,Hard,yyygbbbrpp,advadv;advadv;suc;adv;advadv;suc;suc;thr;thr;faifai,sucadvadvadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Cratala,Discipline,Hard,yyybbbrpp,sucadv;advadv;suc;nil;sucadv;nil;faifai;nil;thr,sucadvadvadv,Fear,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Piloting (Planetary),Average,ggggbbpp,advadv;adv;advadv;adv;nil;suc;thr;nil,sucadvadvadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Stealth,Average,gggbpp,suc;sucadv;sucadv;adv;nil;faifai,sucadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Stealth,Average,ggggbpp,suc;suc;suc;suc;nil;thrthr;faifai,sucsucthrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Stealth,Average,ggbpp,sucsuc;suc;advadv;thrthr;faifai,suc,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Stealth,Average,yggbpp,advadv;sucadv;adv;nil;thr;fai,advadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Stealth,Average,ggggbpp,adv;nil;sucsuc;sucsuc;nil;thrthr;thr,sucsucsucsucthrthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Stealth,Average,ggbpp,sucsuc;sucadv;nil;thr;thr,sucsucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Average,ygpp,sucadv;sucadv;fai;faifai,faiadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Average,ybpp,advadv;sucadv;thr;fai,advadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Perception,Average,gggpp,suc;advadv;sucsuc;nil;thr,sucsucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Stormtrooper,Ranged (Heavy),Average,gggppkk,suc;nil;suc;thrfai;fai;thr;nil,thrthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Stealth,Opposed,ggggbppk,advadv;suc;nil;sucsuc;adv;nil;thr;fai,sucsucadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Stealth,Opposed,ggbppk,sucsuc;suc;advadv;thr;thr;thr,sucsucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Stealth,Opposed,gggbppk,sucadv;sucsuc;sucsuc;sucadv;nil;thrfai;thr,sucsucsucsucsuc,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Cool,Simple,yggb,sucadv;adv;adv;adv,sucadvadvadvadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Cool,Simple,ggggb,sucsuc;sucsuc;nil;suc;nil,sucsucsucsucsuc,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Captain Harsol,Cool,Simple,yyyygb,suc;sucadv;sucsuc;suc;nil;nil,sucsucsucsucsucadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Stormtroopers,Vigilance,Simple,ggg,suc;adv;sucadv,sucsucadvadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Imperial Pilot,Vigilance,Simple,gg,adv;adv,advadv,Initiative,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Ranged (Light),Average,yyggbppv,sucsuc;sucsuc;suc;sucsuc;suc;faifai;fai;adv,sucsucsucsucsucadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Brawl,Average,ggggppkk,adv;adv;sucsuc;advadv;thrthr;thrfai;nil;fai,adv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Imperial Pilot,Ranged (Light),Hard,gggpppk,adv;nil;suc;thr;nil;fai;nil,nil,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Brawl,Average,ggggbbppk,adv;nil;suc;sucadv;sucadv;suc;thr;faifai;nil,sucsucadvadv,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Gunnery,Daunting,gggpppp,suc;suc;sucadv;fai;thr;nil;thr,sucsucthr,Combat ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Opposed,yyggbrrpv,tri;sucsuc;adv;suc;advadv;faifai;fai;thrthr;adv,sucadvadvtri,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Astrogation,Hard,yggggppp,sucadv;nil;sucadv;suc;sucsuc;faifai;thrthr;thr,sucsucsucthr,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Perception,Average,ybbpp,sucadv;nil;sucadv;thr;nil,sucsucadv,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Stealth,Average,gggppk,suc;sucadv;adv;faifai;thr;nil,adv,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Perception,Hard,ybppp,advadv;sucadv;nil;thr;thrthr,suc,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Stormtroopers,Vigilance,Simple,ggg,sucadv;adv;sucadv,sucsucadvadvadv,Initiative,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Imperial Stormtrooper Sergeant,Vigilance,Simple,yyg,advadv;suc;adv,sucadvadvadv,Initiative,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Pax,Vigilance,Simple,yg,sucsuc;sucadv,sucsucsucadv,Initiative,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Cool,Simple,ygg,sucadv;nil;adv,sucadvadv,Initiative,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Romena,Vigilance,Simple,yy,advadv;suc,sucadvadv,Initiative,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Pax,Ranged (Light),Average,yygggppv,sucadv;tri;sucsuc;suc;sucsuc;fai;thrthr;adv,sucsucsucsucsucsuctri,Combat ,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Stormtroopers,Ranged (Heavy),Easy,yggbp,sucsuc;nil;suc;advadv;thrthr,sucsucsuc,Combat ,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Imperial Stormtrooper Sergeant,Ranged (Light),Easy,yyybp,sucadv;sucsuc;sucsuc;sucadv;thrthr,sucsucsucsucsucsuc,Combat ,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Ranged (Light),Easy,gggbppk,adv;advadv;suc;nil;nil;thr;nil,sucadvadv,Combat ,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Torque,Deception,Average,gpp,sucsuc;thr;thr,sucsucthrthr,Social ,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Stealth,Average,gggbpp,sucsuc;suc;nil;nil;nil;thr,sucsucsucthr,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Pax,Stealth,Average,ggggbpp,sucsuc;suc;adv;sucadv;nil;faifai;thr,sucsucadv,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Zack,Ru,Stealth,Hard,gggbpppk,adv;adv;adv;suc;thr;thr;thrfai;thr,thr,Skill,,,
Flashbacks,Assassination on Talz,TRUE,Keith,Pax,Stealth,Hard,gggggbpppk,sucadv;sucsuc;sucsuc;advadv;nil;nil;thr;thrfai;thrthr;fai,sucsucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Negotiation,Opposed,yggppp,nil;sucsuc;advadv;faifai;thrthr;fai,fai,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Charm,Opposed,yyggbbrrrwv,advadv;suc;sucsuc;advadv;nil;suc;thrthr;thr;des;lsplsp;adv,sucsucsucadvadvdeslsplsp,Social ,sucsuc,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Negotiation,Hard,yggbbbpppkk,nil;nil;suc;adv;nil;nil;nil;thr;faifai;fai;fai,faifaifai,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Easy,yyggbpkkw,tri;advadv;sucadv;sucadv;nil;faifai;thr;thr;lsplsp,sucadvadvtrilsplsp,Social ,advadv,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Negotiation,Hard,yyggbbbpppkk,adv;suc;suc;adv;nil;nil;sucadv;thr;thr;nil;nil;fai,sucsucadv,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Negotiation,Easy,yggbpkk,advadv;suc;sucadv;advadv;faifai;thr;thr,advadvadv,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Perception,Easy,ygp,sucsuc;nil;nil,sucsuc,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Ru,Perception,Easy,yp,sucsuc;thr,sucsucthr,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Astrogation,Average,yggggpp,sucsuc;suc;suc;advadv;adv;thr;thr,sucsucsucsucadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Perception,Average,ybppk,advadv;adv;nil;nil;fai,faiadvadvadv,Skill,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Keith,Pax,Charm,Opposed,yyggbbrppkw,adv;nil;suc;advadv;nil;nil;faifai;thr;thrfai;thr;dsp,faifaidsp,Social ,,,
Beyond the Rim,Welcome to the Jungle,TRUE,Zack,Torque,Medicine,Easy,yggggbp,advadv;sucsuc;adv;suc;suc;adv;thrfai,sucsucsucadvadvadv,Medicine,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Discipline,Opposed,ggrp,adv;sucsuc;fai;thr,suc,Social ,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Discipline,Opposed,grp,sucsuc;faifai;thrthr,thrthr,Social ,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Charm,Opposed,gggppp,suc;suc;nil;nil;thrthr;thrthr,sucsucthrthrthrthr,Social ,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Perception,Average,ygpp,advadv;sucadv;thrthr;thr,suc,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Perception,Average,yppk,suc;thrthr;fai;thr,thrthrthr,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Coercion,Opposed,ggbbbpp,suc;sucadv;nil;suc;nil;faifai;thr,suc,Social ,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Computers,Hard,ggbppp,adv;nil;suc;thr;thr;thrthr,sucthrthrthr,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Skulduggery,Average,ygg,tri;thrfai;thrfai,faithrthrtri,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Skulduggery,Average,ygpp,adv;sucsuc;thrfai;thr,sucthr,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Piloting (Planetary),Average,ggggrpkw,adv;adv;suc;suc;thr;thrfai;nil;lsplsp,suclsplsp,Skill,advadv,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Athletics,Hard,ggggpppw,suc;advadv;suc;nil;fai;fai;nil;dspdsp,advadvdspdsp,Skill,sucsuc,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Athletics,Hard,ggpppw*,suc;suc;nil;thr;thrthr;dspdsp;suc,sucsucsucthrthrthrdspdsp,Skill,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Cool,Simple,ygg,adv;suc;sucadv,sucsucadvadv,initiative,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Cool,Simple,gggg,adv;adv;adv;suc,sucadvadvadv,Initiative,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Bint 'Ustaad,Vigilance,Simple,g,sucsuc,sucsuc,Initiative,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Tabitha,Vigilance,Simple,g,nil,nil,Initiative,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Brawl,Easy,ggggpkkw,suc;sucsuc;suc;nil;thr;nil;fai;lsp,sucsucsucthrlsp,Combat ,,,
Flashbacks,The Professor's Daughter,TRUE,Zack,Ru,Coercion,Easy,ygbbp,tri;sucadv;suc;nil;thrfai,sucsuctri,Social ,,,
Flashbacks,The Professor's Daughter,TRUE,Keith,Pax,Charm,Average,yyggbrp,sucsuc;advadv;adv;advadv;nil;thrthr;thr,sucsucadvadv,Social ,,,
Beyond the Rim,Toxic Motherload,TRUE,Zack,Torque,Astrogation,Average,yggggpp,nil;advadv;suc;adv;suc;thr;thr,sucsucadv,Skill,,,
Beyond the Rim,Toxic Motherload,TRUE,Keith,Pax,Deception,Average,ygppw,nil;adv;nil;thr;dsp,dsp,Social ,,,
Beyond the Rim,Toxic Motherload,TRUE,Keith,Tie Fighter Pilots,Vigilance,Simple,yy,tri;tri,sucsuctritri,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Keith,Tie Fighter Pilots,Vigilance,Simple,yy,tri;sucadv,sucsucadvtri,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Zack,Torque,Vigilance,Simple,g,nil,nil,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Keith,Pax,Cool,Simple,gggg,sucadv;adv;suc;advadv,sucsucadvadvadvadv,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Zack,Ru,Cool,Simple,ygg,suc;suc;nil,sucsuc,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Zack,Cratala,Vigilance,Simple,yyg,suc;sucsuc;sucsuc,sucsucsucsucsuc,Initiative,,,
Beyond the Rim,Toxic Motherload,TRUE,Keith,Pax,Piloting (Space),Average,ggggppkw,sucadv;suc;adv;suc;thrthr;thr;fai;lsplsp,sucsucthrlsplsp,Skill,adv,,
